药id,药名
0,加斯清
1,碳酸钙d
2,日夜百服宁
3,阿卡波糖
4,海捷亚
5,格列吡嗪控释片
6,培多普利
7,尔同舒
8,利加隆
9,来适可
10,奥克
11,黄葵
12,琥珀酸美托洛尔缓释片
13,依那普利
14,唐林
15,华法林
16,甲氨蝶呤
17,克拉霉素缓释片
18,皿治林
19,地奥司明片
20,尼莫同
21,安博维
22,欧唐宁
23,阿法d3
24,赛治
25,百泌达
26,复方α酮酸
27,别嘌醇
28,洛丁新
29,耐信
30,瑞舒伐他汀
31,糖适平
32,纳催离
33,维格列汀
34,诺邦
35,呋喃硫胺片
36,诺和龙
37,积大本特
38,芪明颗粒
39,达格列净片
40,海昆肾喜
41,舒降之
42,来得时
43,波立维
44,依姆多
45,碳酸氢钠片
46,佰莫亭
47,压氏达
48,阿法骨化醇软胶囊
49,安立泽
50,甲硝唑
51,脑心通
52,钙尔奇
53,硫辛酸
54,爱若华
55,拜阿司匹林
56,门冬氨酸鸟氨酸颗粒剂
57,诺和力
58,卡托普利
59,易善复
60,左甲状腺素片
61,头孢地尼
62,肾炎康复片
63,沙格列汀片
64,科素亚
65,阿托伐他汀
66,帕夫林
67,博路定
68,敏使朗
69,卜可
70,诺和平
71,雷公藤多苷片
72,维格列汀片
73,多达一
74,维固力
75,阿魏酸哌嗪
76,希刻劳
77,水飞蓟片
78,保列治
79,阿法迪三
80,代文
81,熊去氧胆酸胶囊
82,思美泰
83,诺和锐
84,兰索拉唑
85,乐喜林
86,利那鲁肽
87,安搏维
88,优泌林
89,门冬胰岛素注射液
90,沐舒坦
91,达美康
92,力蜚能
93,阿魏酸哌嗪片
94,甘舒霖
95,胃复春
96,益心舒
97,醋酸泼尼松
98,阿米替林
99,呋塞米片
100,拜唐苹片
101,生物合成人胰岛素
102,格列美脲
103,格列吡嗪缓释片
104,波依定
105,捷诺维
106,络活喜
107,安必丁
108,海昆肾喜胶囊
109,利可君
110,碳酸钙
111,泰嘉
112,美卡素
113,益比奥
114,左氧氟沙星
115,派瑞松
116,怡开
117,信卫安
118,拜糖苹
119,华法林钠片
120,氯氮平
121,缬沙坦
122,阿莫西林
123,施慧达
124,佳维乐
125,枸橼酸莫沙比利
126,瑞格列奈片
127,再宁平
128,双嘧达莫
129,依帕司他
130,优思弗
131,氟伐他汀
132,头孢克洛胶囊
133,倍搏特
134,倍他乐克缓释片
135,骨化三醇软胶囊
136,培达
137,亚莫利
138,欣康
139,西乐葆
140,甘精胰岛素
141,格列喹酮片
142,胃苏颗粒
143,呋塞米
144,苯磺酸左氨氯地平
145,益肾丸
146,诺和灵
147,那格列奈片
148,精蛋白生物合成人胰岛素注射液
149,哈乐
150,氯硝西泮
151,酮替芬
152,金纳多
153,迈之灵
154,康士得
155,开同
156,益适纯
157,安康信
158,雷替斯
159,金水宝
160,安博诺
161,立普妥
162,阿普唑仑
163,普瑞巴林
164,辛伐他汀
165,盖三淳
166,恩替卡韦分散片
167,阿托伐他汀钙片
168,克咳胶囊
169,甘精胰岛素注射液
170,盐酸二甲双胍片
171,门冬胰岛素
172,拜复乐
173,美卓乐
174,阿司匹林
175,苯磺酸左旋氨氯地平片
176,尼麦角林
177,二甲双胍
178,速力菲
179,氨氯地平
180,莫西沙星
181,莫沙必利
182,速立菲
183,罗盖全
184,可多华
185,可乐必妥
186,复合维生素b
187,伲福达
188,磷酸西格列汀片
189,百赛诺
190,贝前列腺素钠片
191,迭力
192,硝苯地平缓释片
193,丙硫氧嘧啶
194,复方硫酸双肼屈嗪片
195,护肝宁
196,地特胰岛素
197,博苏
198,地特胰岛素注射液
199,胰激肽原酶肠溶片
200,氯沙坦钾
201,艾塞那肽注射液
202,弥可保
203,可定
204,密钙息鼻喷剂
205,雅施达
206,来氟米特
207,恩格列净片
208,银杏叶片
209,格列美脲片
210,富露施
211,谷维素
212,羟氯喹
213,钙尔奇d
214,善存
215,氯吡格雷
216,缬沙坦氨氯地平
217,贝前列素钠
218,欣百达
219,阿斯匹林肠溶片
220,贝前列素那
221,维生素c
222,苯溴马隆
223,氯化钾缓释片
224,多糖铁复合物胶囊
225,拜糖平
226,拜新同
227,尼福达
228,碳酸氢钠
229,卡搏平
230,雷贝拉唑
231,喜普妙
232,波利维
233,地榆升白片
234,倍博特
235,顺尔宁
236,利拉鲁肽注射液
237,贝前列腺素钠
238,溴隐亭
239,欧糖宁
240,厄贝沙坦
241,甲钴胺片
242,吗丁啉
243,阿莫仙
244,螺内酯
245,格列齐特片
246,倍他乐克
247,培菲康
248,甲钴胺
249,优甲乐
250,加巴喷丁
251,精蛋白锌重组赖脯胰岛素混合注射液
252,优泌乐
253,左洛复
254,卡博平
255,波利特
256,复合维生素b片
257,拜阿斯匹林
258,黄葵胶囊
259,万爽力
260,开瑞坦
261,力平之
262,吉诺通
263,格华止
264,阿德福韦酯胶囊
265,导升明
266,瑞易宁
267,桑塔
268,阿法骨化醇
269,科索亚
270,眩晕宁片
271,洛汀新
272,补达秀
273,保肾康
274,达喜
275,非布司他
276,碳酸钙片
277,强的松
278,保肾片
279,福善美
